,Average Precision,Size on Disk in MB,Num MACs,Num Params,Time in ms,Time Fused in ms
voc_pretrained.pt,0.6479432090543202,70.800601,2062457012,15861773,26.902971267700195,25.733208656311035
voc_person_only.pt,0.6546829871616197,70.800601,2052719512,15764398,26.267783641815186,25.25247812271118
voc_pruned_0_finetuned.pt,0.6320385553478648,40.773437,1381510996,9078559,16.992018222808838,15.814542770385742
voc_pruned_1_finetuned.pt,0.6364176735608443,27.547717,1085861082,6131622,13.454573154449463,13.311388492584229
voc_pruned_2_finetuned.pt,0.5927327720991016,19.839901,912243632,4415639,12.206225395202637,12.069809436798096
voc_pruned_3_finetuned.pt,0.6009838927773773,15.011257,801197636,3341777,10.988283157348633,10.475144386291504
voc_pruned_4_finetuned.pt,0.6059839059859388,11.890426,728929436,2647337,10.072517395019531,9.050166606903076
voc_pruned_5_finetuned.pt,0.5997381741225273,9.584221,672643200,2134866,10.053234100341797,8.649470806121826
voc_pruned_6_finetuned.pt,0.5954849547028723,7.968716,632257310,1775477,9.96159315109253,9.221205711364746
voc_pruned_7_finetuned.pt,0.5453894079054605,6.762923,590252952,1507152,9.598925113677979,8.619005680084229
voc_pruned_8_finetuned.pt,0.5332229622190904,5.783516,562112218,1289521,9.29142951965332,8.556299209594727
voc_pruned_9_finetuned.pt,0.5262472411834346,5.011307,535698304,1117933,8.816475868225098,8.089649677276611
